@relation student_summarization
@attribute course{88,29,110,111,46,94,218}
@attribute n_assignment{LOW,MEDIUM,HIGH}
@attribute n_posts{LOW,MEDIUM,HIGH}
@attribute n_read{LOW,MEDIUM,HIGH}
@attribute n_quiz{LOW,MEDIUM,HIGH}
@attribute n_quiz_a{LOW,MEDIUM,HIGH}
@attribute n_quiz_s{LOW,MEDIUM,HIGH}
@attribute total_time_assignment{LOW,MEDIUM,HIGH}
@attribute total_time_quiz{LOW,MEDIUM,HIGH}
@attribute total_time_forum{LOW,MEDIUM,HIGH}
@attribute mark{FAIL,PASS,GOOD,EXCELLENT}
@data
111,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,LOW,MEDIUM,FAIL
111,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,GOOD
111,HIGH,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
46,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,PASS
46,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,MEDIUM,PASS
46,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,MEDIUM,FAIL
46,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,EXCELLENT
46,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,EXCELLENT
46,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,PASS
46,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,LOW,PASS
46,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,GOOD
46,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,GOOD
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,EXCELLENT
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,LOW,HIGH,EXCELLENT
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,GOOD
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,HIGH,FAIL
94,LOW,LOW,MEDIUM,HIGH,HIGH,LOW,LOW,MEDIUM,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,GOOD
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,HIGH,HIGH,LOW,LOW,LOW,HIGH,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,HIGH,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,HIGH,HIGH,LOW,LOW,LOW,LOW,EXCELLENT
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,GOOD
94,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,GOOD
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,HIGH,HIGH,LOW,LOW,MEDIUM,LOW,EXCELLENT
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,HIGH,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,GOOD
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,LOW,GOOD
94,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,GOOD
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
94,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,GOOD
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,HIGH,HIGH,LOW,LOW,LOW,LOW,EXCELLENT
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,GOOD
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,GOOD
94,LOW,LOW,MEDIUM,HIGH,MEDIUM,LOW,LOW,LOW,LOW,FAIL
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,PASS
94,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,PASS
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,PASS
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,MEDIUM,LOW,LOW,LOW,MEDIUM,HIGH,PASS
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,PASS
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,MEDIUM,FAIL
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,HIGH,PASS
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,PASS
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,GOOD
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,GOOD
218,LOW,MEDIUM,LOW,MEDIUM,LOW,LOW,LOW,LOW,HIGH,FAIL
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,HIGH,PASS
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,PASS
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,GOOD
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,MEDIUM,FAIL
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,GOOD
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,PASS
218,HIGH,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,PASS
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,LOW,PASS
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,GOOD
218,LOW,MEDIUM,LOW,MEDIUM,LOW,LOW,LOW,LOW,HIGH,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,PASS
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,FAIL
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,MEDIUM,PASS
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,PASS
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,HIGH,GOOD
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,HIGH,GOOD
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,LOW,PASS
218,HIGH,LOW,LOW,MEDIUM,LOW,MEDIUM,LOW,LOW,LOW,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,HIGH,FAIL
218,HIGH,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,MEDIUM,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,FAIL
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,MEDIUM,PASS
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,PASS
218,HIGH,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,PASS
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,MEDIUM,PASS
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,MEDIUM,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,FAIL
218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,FAIL
218,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,PASS
218,HIGH,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,LOW,FAIL
